QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"""Do you think they're mutants?"" I a _ _ _ d angel, lying down again. ""They look pretty human."" [5 Letters A _ _ _ _ _ D]",asked,ASKED,Asked
Each of the Black Ajah members on Verin's list had been seen healthy and alive following the Seanchan attack. But most had escaped before Egwene arrived at the Tower to t _ _ _  her seat. Velina was gone. So were Chai and Birlen. [4 Letters T _ _ _ ],take,TAKE,Take
"Slowly, one by one, they nodded. I l _ _  out a deep breath, wondering if I could even get myself airborne. [3 Letters L _ _ _ ]",let,LET,Let
"""I wanted to be here when you g _ _  home. You look exhausted."" [3 Letters G _ _ _ ]",got,GOT,Got
"Hardie and his grandfather, Mr. Silas Quinn, found Theo and Woody as they crossed Red Creek. Theo was s _ _ _ _ d with sweat and blood and the stress was triggering an asthmatic attack. [6 Letters S _ _ _ _ _ D]",soaked,SOAKED,Soaked
"Fuck, she was pretty, sitting beside him, wearing an ice-blue thermal, a pale pink, quilted vest with a collar that framed the elegant line of her neck, a woolly pastel green scarf w _ _ _ _ _ d around that neck and dangling down the front and slightly faded jeans that rode low on her hips and cupped her ass brilliantly. [7 Letters W _ _ _ _ _ D]",wrapped,WRAPPED,Wrapped
"""It would s _ _ _  more Raina's sort of idea than Marcus's,"" Jean-Claude said. [4 Letters S _ _ _ ]",seem,SEEM,Seem
"The new hobby soon became as interesting as card games, and he found himself canceling planned excursions to the casinos in order to s _ _ _ y the lunar surface. [5 Letters S _ _ _ _ _ Y]",study,STUDY,Study
"She smiled. ""Thank you. That was nice of you."" She p _ _  her hand on his arm. [3 Letters P _ _ _ ]",put,PUT,Put
"""Have the other members of Beaudin's team m _ _ _  any significant financial transactions?"" Hood asked. [4 Letters M _ _ _ ]",made,MADE,Made
"""A friend."" What would the feminists do if they knew he u _ _ _  the word chick? [4 Letters U _ _ _ ]",used,USED,Used
"""You gave me advice once, on matters of the heart. Now I'll r _ _ _ _ n the favor. Find the words, the right ones, and give them to her. I imagine there's different ones for different women, but when it's all cleared away, it means the same."" [6 Letters R _ _ _ _ _ N]",return,RETURN,Return
"""Honey."" Mavis snaked a hand from under her blanket and took Eve's t _ _ _ _ d fingers. ""You've been blocking off normal needs all your life because of things you barely remember. Somebody just found a way to get through. You should be happy."" [6 Letters T _ _ _ _ _ D]",tensed,TENSED,Tensed
"His vision grayed, his mind r _ _ _ _ d. They remained poised for a shivering moment, joined, mated. He wasn't even aware that his hands sought hers, that their fingers locked into fists. [6 Letters R _ _ _ _ _ D]",reeled,REELED,Reeled
"""Sure, sure!"" Jordan cried impatiently. He got up from his chair and b _ _ _ n to pace around the room. ""Come on, you guys!"" As if he were trying to get up a game of tag. [5 Letters B _ _ _ _ _ N]",began,BEGAN,Began
"He was older than she by about fifteen years, and when she died, he lost interest in everything. He retired, went into seclusion. He d _ _ _  less than a year later."" [4 Letters D _ _ _ ]",died,DIED,Died
of the Passage; Orem s _ _ _ k his head. What good would it do? [5 Letters S _ _ _ _ _ K],shook,SHOOK,Shook
"It was a two-story old clapboard with chipping white paint. Stone led Reuben to the rear. The door here was solid, but there was a window next to it. Stone p _ _ _ _ d through the window and motioned Reuben to look too. [6 Letters P _ _ _ _ _ D]",peered,PEERED,Peered
"I clawed my way clear of the boat and sat up in a daze. Fortunately, the stuff we'd crashed into was soft. Unfortunately, it was a twenty-foot pile of dried chili peppers, and the boat had s _ _  them on fire. [3 Letters S _ _ _ ]",set,SET,Set
"""Yes,"" she said. ""No, oh, hell, Anita, I don't know. I thought we had a good thing g _ _ _ g, if I could get him to slow down a little, then he suddenly puts it into high gear."" [5 Letters G _ _ _ _ _ G]",going,GOING,Going
