QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"""Yeah, you oughtta. He's all right."" Ralph s _ _ _ _ _ _ d his feet. ""And I talked to Mother a little bit before this Underwood and his folks came up to be innerduced. Talked to her like you wanted me to."" [8 Letters S _ _ _ _ _ D]",shuffled,SHUFFLED,Shuffled
"""Nothing looks right,"" Franny muttered, peering through the mist. Michelle closed her hand, and the bubble g _ _ _  a soft crack and was gone. [4 Letters G _ _ _ ]",gave,GAVE,Gave
"As the F-15 pilot streaked through the night at 30,000 feet, he worked his system on the target. time was r _ _ _ _ _ g out. [7 Letters R _ _ _ _ _ G]",running,RUNNING,Running
Valentine could not t _ _ _ k of a way to answer him that wasn't dangerous. Too much questioning about Peter could lead to real trouble. [5 Letters T _ _ _ _ _ K],think,THINK,Think
"Marcia closed the f _ _ _ _ _ g door of the phone booth so there was no chance of her being overheard by anyone who might be about, and Bucky stood beside the booth, trying to tell from her reactions what Dr. Steinberg was saying. [7 Letters F _ _ _ _ _ G]",folding,FOLDING,Folding
"Wrinkling her nose at him, Ryan picked up the phone and p _ _ _ _ d a series of buttons. ""Ryan Swan,"" she announced, deliberately keeping her eyes away from Pierce. ""Is he free?"" [6 Letters P _ _ _ _ _ D]",pushed,PUSHED,Pushed
"Wouldn't have done that with old Lash LaRue, though. Oh, not because it wouldn't have done the job. Would have w _ _ _ _ d just fine, put him facedown on the gravel, Wranglers and snap-fastened dude shirt and silly pompadour and all. [6 Letters W _ _ _ _ _ D]",worked,WORKED,Worked
"Foxy's frown deepened, and he gave her his crooked smile. ""Don't worry, Fox, you won't see any blood s _ _ _ _ _ d. We don't get along, but we're quite civilized about it. Bardetts, you see, are always civilized."" [7 Letters S _ _ _ _ _ D]",spilled,SPILLED,Spilled
"""His footsteps,"" Iggy muttered. Fang couldn't h _ _ _  his footsteps. Iggy went on, face pinched with concentration. ""Those footsteps…We heard them…in a subway tunnel."" [4 Letters H _ _ _ ]",hear,HEAR,Hear
"""Well."" She s _ _  the humor in his eyes and leaned back, a pencil tapping on her lip. ""I hope it was worth it."" Jordan lifted a brow and said nothing. Agnes had expected nothing else. [3 Letters S _ _ _ ]",saw,SAW,Saw
"He grew up in a barrio and two times during football games his senior year there were kids murdered, one a stabbing during a drug sale g _ _ _  bad, one a shooting during a gang war. [4 Letters G _ _ _ ]",gone,GONE,Gone
"""Refresh what? With the Manhattan North scrubs? He's going to p _ _ _  the plug on us now? Just when the ice is starting to break?"" [4 Letters P _ _ _ ]",pull,PULL,Pull
"Mom was at a bake fair in Columbia city, and Dad had gone over to our nearest neighbour's (and that was seven miles away) to h _ _ _  the man fix a hayrake. [4 Letters H _ _ _ ]",help,HELP,Help
"Off-balance, she m _ _ _ _ d a step and found herself pressed even closer. ""I think I'd handle it better if we still got on each other nerves."" [6 Letters M _ _ _ _ _ D]",missed,MISSED,Missed
"The brides and grooms exchange rings and vows and many people in the grandstand are t _ _ _ _ g pictures, standing in the aisles and crowding the rails, whole families snapping anxiously, trying to shape a response or organize a memory, trying to neutralize the event, drain it of eeriness and power. [6 Letters T _ _ _ _ _ G]",taking,TAKING,Taking
"The music included two gospel classics, ""I'll Fly Away"" and ""He Set Me Free,"" hymns Ron learned as a child and sang his entire life, at revivals and church camps, at his mother's funeral with chains around his ankles, at death row during his darkest days, at Annette's the night he was s _ _  free. [3 Letters S _ _ _ ]",set,SET,Set
The Merlin has demanded that we p _ _  the boy under surveillance at once. I think he's a damn fool. [3 Letters P _ _ _ ],put,PUT,Put
"""Is he even going to be up yet? Growing boys n _ _ _  their rest."" The tone of voice, if not the voice itself, was almost exactly Mark's. [4 Letters N _ _ _ ]",need,NEED,Need
"""It was a very big deal. Those kids need to be h _ _ _  accountable for what they did. Otherwise, they might do it again."" [4 Letters H _ _ _ ]",held,HELD,Held
"We reached a door on the right. Another guard, identical uniform, identical earpiece and jacket bulge, was standing on the nearside of the door. He stiffened as we came r _ _ _ d the corner. [5 Letters R _ _ _ _ _ D]",round,ROUND,Round
