QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"He turned to me, pulled me in his arms and h _ _ _  me close. [4 Letters H _ _ _ ]",held,HELD,Held
"Slate's eyes r _ _ _ _ d back in his head, and he sank to his knees. Jen went down with him, wrapped around him like kelp on a swimmer, her mouth next to his ear. [6 Letters R _ _ _ _ _ D]",rolled,ROLLED,Rolled
Her hair was no longer platinum blonde but ebony. The change was startling and it l _ _ _ _ d good on her. [6 Letters L _ _ _ _ _ D],looked,LOOKED,Looked
"""Not the spot for daydreaming."" Meg Stanley skidded by, giving him a wink as she p _ _ _ _ d open the door of Ma's Pantry. [6 Letters P _ _ _ _ _ D]",pulled,PULLED,Pulled
"She licked water off the grass as she crawled, t _ _ _ _ _ g her head this way and that, flicking her tongue like a snake, snoop-sloop. She did it without thinking. [7 Letters T _ _ _ _ _ G]",turning,TURNING,Turning
"Of course, she had time to fritter around any fucking day of the week, m _ _ _ _ g time with some slick-fingered tennis pro while her asshole husband practiced his putting. [6 Letters M _ _ _ _ _ G]",making,MAKING,Making
"Now Marina came forward and p _ _ _ _ d up a handful of dirt. She made the sign of the cross, then extended her arm over the grave, letting the dirt fall. Marguerite and Robert had never seen anything like this. [6 Letters P _ _ _ _ _ D]",picked,PICKED,Picked
"Her hand came out and c _ _ _ _ _ _ d mine, holding strong, her eyes searching mine, she whispered, ""It'll be good knowing, once we're claimed, someone close will be from home."" [8 Letters C _ _ _ _ _ D]",captured,CAPTURED,Captured
"Slowly her subconscious released her and Jenny d _ _ _ _ _ d off to sleep. She couldn't tell how long the slumber lasted, minutes or hours, disoriented as she was in the dark room. [7 Letters D _ _ _ _ _ D]",drifted,DRIFTED,Drifted
"Gray took in a deep breath and l _ _ _  his smile as his eyes changed, their intensity burning into me. [4 Letters L _ _ _ ]",lost,LOST,Lost
"When the day b _ _ _ n, Jake had nothing-no murders, no car wrecks, and no promising wills to probate. By lunch, though, he was mentally spending some money. [5 Letters B _ _ _ _ _ N]",began,BEGAN,Began
"""Not me. I mean he must have seen there was someone on the trail. It wouldn't t _ _ _  any effort to find out it was me, not after the whole town knew about it. [4 Letters T _ _ _ ]",take,TAKE,Take
"I nodded. ï¿½Good.ï¿½ I went to her, staying well out of reach because even with her hands b _ _ _ d I did not want to risk her touching me. Sheï¿½d once been able to love a man to death. [5 Letters B _ _ _ _ _ D]",bound,BOUND,Bound
"The three windows dead ahead were his first targets. He could see the muzzle flashes with his own eyes easily enough, but the thermal allowed him to d _ _ _  a bead on the heated outlines of the machine guns. [4 Letters D _ _ _ ]",draw,DRAW,Draw
"Perhaps Calla thought that if she didnt keep an eye on me, Id slack up on the job, since Joe C was certainly no critic of my work (unless he couldnt t _ _ _ k of another way to rile me). [5 Letters T _ _ _ _ _ K]",think,THINK,Think
"The sobs were too strong to allow more. The latent hysterics had come out grinning and gibbering. She could not stand up. She could only crawl into the living room with her hair h _ _ _ _ _ g in her face, braying huge, hoarse sobs. [7 Letters H _ _ _ _ _ G]",hanging,HANGING,Hanging
"""Harry, the ball was the whole point. It was Bianca's chance to p _ _  you down while staying within the terms of the Accords. She laid her trap and missed. Do you think she's going to keep pushing it?"" [3 Letters P _ _ _ ]",put,PUT,Put
"As soon as Benny climbed in and closed his door, she hit the master lock switch, s _ _ _ _ _ d the engine, threw the car in gear, popped the emergency brake, and drove too fast toward the exit ramp. [7 Letters S _ _ _ _ _ D]",started,STARTED,Started
"She leaned forward, R _ _ _ _ g on her toes to brush her mouth over his. ""But that does fine for now."" [6 Letters R _ _ _ _ _ G]",rising,RISING,Rising
"As a man who had w _ _ _ _ d his way up to CEO of a top brokerage firm before his early retirement, Ray knew a deal when it was placed on the table. ""You're looking for a partnership, Buck. [6 Letters W _ _ _ _ _ D]",worked,WORKED,Worked
