QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"""I'm sorry."" Deanna resisted the urge to clear the huskiness from her throat. She wished now she had left the room the moment Angela had entered, but the greedy, k _ _ _ _ _ g look on the woman's face as she raced to Finn had rooted Deanna to the spot. [7 Letters K _ _ _ _ _ G]",knowing,KNOWING,Knowing
"I was the most terrible thing in the world, I was families broke up and children orphaned and mamas crying for their dead babies, I was everything that people h _ _ _  most in all the world. [4 Letters H _ _ _ ]",hate,HATE,Hate
"""What's the difference?"" Sloan narrowed his eyes. ""And you're not w _ _ _ _ _ g a tie. How come you're not w _ _ _ _ _ g a tie?"" [7 Letters W _ _ _ _ _ G]",wearing,WEARING,Wearing
"She'd known al along it was me who got Tye off the street. I felt something h _ _  my chest, a weight I hadn't felt in a long time, not since Auntie Reba died. [3 Letters H _ _ _ ]",hit,HIT,Hit
"""Is this it?"" Kelly asked. He h _ _ _  the bottle in his hands. His reward for the harsh question was like a well-earned knife in the heart. [4 Letters H _ _ _ ]",held,HELD,Held
"I know why you went. Moonlight and the others were worried, the cat said. I've been staying here since the Dragon woke and found you gone. Horses are calmer people. They also don't t _ _ _ w things at cats. [5 Letters T _ _ _ _ _ W]",throw,THROW,Throw
"With a variety of other parents, fans, Colt, Cal, Keira, Heather, Dave, Spike, Ernie and Rocky, Layne waited after the game to w _ _ _ h the boys load up in the bus. [5 Letters W _ _ _ _ _ H]",watch,WATCH,Watch
"""Not unless they could fly and w _ _ _  through walls. The other doors are all fire exits, with alarms that would trip if someone opened them."" [4 Letters W _ _ _ ]",walk,WALK,Walk
"As I spoke, his gaze went from my ass to my eyes, and when I was done talking, he announced, ""I'd like to t _ _ _  you to dinner tonight."" [4 Letters T _ _ _ ]",take,TAKE,Take
"""Thank you, dol face,"" she said quietly and I p _ _ _ _ _ d my cheek into her hand as tears fil ed my throat. [7 Letters P _ _ _ _ _ D]",pressed,PRESSED,Pressed
"Three Vanishers stood in the mouth of the tunnel, openmouthed. Wax r _ _ _ _ d the shotgun and cocked it with Allomancy, then laid into them with shotgun blasts. They were the only ones that had still been standing. Everyone else had been crushed down into the tunnel. [6 Letters R _ _ _ _ _ D]",raised,RAISED,Raised
"The telephone on the desk r _ _ _  a fourth time. Before Ring 5 could wake up the answering machine, Lisey snagged the receiver. ""Hello?"" [4 Letters R _ _ _ ]",rang,RANG,Rang
I p _ _ _ _ d my lips between my teeth. Then I watched as his head dropped because my hands were at his tee pulling it up my belly and his eyes were trained there. [6 Letters P _ _ _ _ _ D],pulled,PULLED,Pulled
"Wild superstitions to account for plague running rampant. They tell of people who c _ _ _  back from the dead and sustain themselves on the blood of the living."" [4 Letters C _ _ _ ]",come,COME,Come
He l _ _ _ _ d to his left and saw her clock announcing it was four thirty. [6 Letters L _ _ _ _ _ D],looked,LOOKED,Looked
Dom was a law-abiding citizen; the prospect of breaking into the house gave him no thrill. But it had to be done because there was no way he could see it except by f _ _ _ _ d entry. [6 Letters F _ _ _ _ _ D],forced,FORCED,Forced
"She sat in her dressing room, s _ _ _ _ _ _ _ _ d by flowers, the scent and the color of them. She barely noticed them. She'd hoped, perhaps foolishly, that one of the luscious bouquets, one of the elegant arrangements, had been sent by Brady. But she had known better. [10 Letters S _ _ _ _ _ D]",surrounded,SURROUNDED,Surrounded
"The lie would no longer tear at your heart, because you would be what now you only seem-a wife-and you could b _ _ _ _ e a part of that net of life."" [6 Letters B _ _ _ _ _ E]",become,BECOME,Become
"""Hearing him?"" Her smile widened. ""No, not really. I knew his voice before I knew him. It's hard to t _ _ _ k of Da without thinking of his music. It must be the same for you. [5 Letters T _ _ _ _ _ K]",think,THINK,Think
"Jake poured hot beer from his neglected bottle, and opened another. The rain slackened and the clouds lightened. A cool wind b _ _ _  up from the lake. [4 Letters B _ _ _ ]",blew,BLEW,Blew
